"",1997,"","",1998,"","",1999,"","",2000,"","",2001,"","",2002,"","",2003,"","",2004,"","",2005,"","",2006,"","",2007,"","",2008,"","",2009,"","",2010,"","",2011,"","",2012,"","",2013,"","",2014,"","",2015*,"","","","",""
"","e
ic
id
m
o
h","e
ic
id
su","n
it
o
ve
n
te
r
 ien
lic
o
p","e
iicd
m
o
h","e
iicd
su","n
ito
rven
te
n
 e
i
lic
o
p","e
d
ic
i
m
o
h","e
id
ic
su","n
ito
rven
te
 in
lice
o
p","e
ic
id
m
o
h","e
id
ic
su","n
ito
en
re
v
t
in
 lice
o
p","e
ic
id
m
o
h","e
ic
id
su","n
ito
trveen
 ilicen
o
p","e
d
ic
i
m
o
h","e
id
ic
su","n
ito
rven
te
 in
lice
o
p","e
ic
id
m
o
h","e
d
iic
su","n
ito
n
trvee
 ien
ilc
o
p","e
ic
id
m
o
h","e
ic
id
su","n
ito
en
trve
 ien
ilc
o
p","e
ic
d
i
m
o
h","e
ic
id
su","n
ito
rven
te
in
 lice
o
p","e
d
ic
i
m
o
h","e
id
ic
su","n
ito
rven
te
 in
lice
o
p","e
ic
id
m
o
h","e
d
iic
su","n
ito
n
trvee
 ien
ilc
o
p","e
d
iic
m
o
h","e
d
iic
su","n
ito
n
ve
tre
 ien
ilc
o
p","e
ic
id
m
o
h","e
ic
id
su","n
ito
rven
te
in
 lice
o
p","e
d
ic
i
m
o
h","e
id
ic
su","n
ito
rven
te
 in
lice
o
p","e
ic
id
m
o
h","e
d
iic
su","n
ito
n
trvee
 ien
ilc
o
p","e
d
iic
m
o
h","e
d
iic
su","n
ito
n
ve
tre
 e
in
ilc
o
p","e
ic
d
i
m
o
h","e
ic
id
su","n
ito
rven
te
in
 lice
o
p","e
d
ic
i
m
o
h","e
iicd
su","n
ito
rven
te
 in
lice
o
p","e
d
iic
m
o
h","e
d
iic
su","n
ito
rven
te
in
 ilce
o
p","e
ic
id
m
o
h","e
ic
id
su","n
ito
n
re
ve
t
 iilcen
o
p"
Adams,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0
Asotin,"","","","","","","","","",1,1,"","","","","","","","","","","","","",1,"","","","","","","","","","","","","","",1,2,"","","","","","","","","","","","","","","","",3,3,0
Benton,"","","","","","",1,1,"","","","",1,1,"","","","",5,2,"",3,"","",4,"","",4,1,"","","",1,"","","","","","","","","","","","","","","",1,"","",1,"","","","","",20,5,1
Chelan,"","","",1,"","","","","","","","","","","","","","","","","",1,"","",1,"","",1,1,"","","","",1,"","","","","","","","",2,1,"","","","",1,1,"","","","","","","",8,3,0
Clallam,2,"","",1,"","","","","",1,"","",1,"","",1,"","","","",1,2,1,"","","","","","","","","","",3,1,1,"","","",1,1,"","","","",1,"","","","","",1,"","","","","",14,3,2
Clark,3,1,1,2,2,"",1,"","","","","",5,2,"",1,"","",2,2,"",5,1,"",5,3,"","","","",2,1,"",1,"","",1,1,"",1,1,"",8,2,"",2,"","",1,1,"",3,2,"","","","",43,19,1
Columbia,"","","","","","","","","","","","","","","",1,"","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","",2,1,0
Cowlitz,"","","","","","",1,"","","","","","","","",2,1,"",1,"","",1,1,"",1,1,"",2,"","","","","",1,"","","","","","","","",2,"","","","","","","","","",1,"","","",1,11,4,1
Douglas,"","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","",1,"","","","","","","","",1,"","","","","","","","","","","","","","",3,0,0
Ferry,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","",2,1,"","","","","","","","","","","","","","","","","","","",3,1,0
Franklin,"","","",1,"","","","","",2,"","",3,1,"",1,"","","","","","","","","","","",1,"","","","","",1,"","","","","",2,"","","","","","","","",2,"","",1,1,"","","","",14,2,0
Garfield,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0
Grant,"","","",2,"","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","",1,"","",2,"","","","","","","",1,1,1,"","","","","",1,"","","","",7,2,1
Grays Harbor,"","","","","","","","","",2,2,"","","","",2,"","","","","","","","","","","",2,1,"","","","",1,"","","","","","","","",1,"","",2,1,"","","","","","","","","","",10,4,0
Island,1,"","","","","",2,"","",1,"","",1,"","",2,1,1,"","","",1,"","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","",9,1,1
Jefferson,"","","","","","","","","","","","","","","",1,"","",1,"","","","","","","","","","","","","","","","","","","","",1,1,"","","","","","","","","","","","","","","","",3,1,0
